iter	Passed	Remaining
0	50	50003
1	50	25277
2	51	17042
3	51	12907
4	52	10428
5	53	8795
6	94	13369
7	94	11759
8	95	10526
9	96	9534
10	96	8707
11	97	8013
12	97	7430
13	98	6926
14	98	6498
15	99	6122
16	100	5788
17	100	5486
18	101	5224
19	101	4983
20	102	4763
21	102	4565
22	103	4385
23	103	4222
24	104	4071
25	104	3929
26	105	3797
27	105	3673
28	106	3560
29	106	3454
30	107	3353
31	107	3264
32	108	3176
33	109	3107
34	110	3058
35	111	2989
36	112	2920
37	112	2853
38	113	2792
39	113	2734
40	114	2677
41	114	2622
42	115	2570
43	116	2520
44	116	2473
45	117	2429
46	117	2387
47	118	2346
48	118	2307
49	119	2269
50	119	2232
51	120	2196
52	121	2162
53	121	2128
54	122	2096
55	122	2066
56	123	2036
57	123	2006
58	124	1979
59	124	1956
60	125	1935
61	126	1910
62	126	1885
63	127	1861
64	127	1838
65	128	1815
66	128	1792
67	129	1771
68	129	1750
69	130	1730
70	130	1712
71	131	1694
72	131	1675
73	132	1657
74	132	1639
75	133	1621
76	133	1605
77	134	1588
78	134	1572
79	135	1555
80	135	1540
81	136	1525
82	136	1508
83	137	1494
84	137	1481
85	138	1468
86	138	1454
87	139	1441
88	139	1428
89	140	1416
90	140	1404
91	141	1392
92	141	1381
93	142	1370
94	142	1358
95	143	1347
96	143	1336
97	144	1326
98	144	1315
99	145	1305
100	145	1296
101	146	1286
102	146	1276
103	147	1266
104	147	1257
105	147	1248
106	148	1239
107	148	1230
108	149	1221
109	149	1213
110	150	1204
111	150	1197
112	151	1189
113	152	1181
114	152	1173
115	152	1164
116	153	1156
117	153	1149
118	154	1142
119	154	1135
120	155	1127
121	155	1120
122	156	1113
123	156	1107
124	157	1100
125	157	1093
126	158	1086
127	158	1079
128	159	1073
129	159	1067
130	160	1061
131	160	1055
132	160	1048
133	161	1042
134	161	1037
135	162	1032
136	163	1026
137	163	1021
138	164	1015
139	164	1010
140	165	1005
141	165	998
142	165	993
143	166	988
144	166	982
145	167	977
146	167	973
147	168	968
148	168	964
149	169	959
150	169	954
151	170	949
152	170	945
153	171	940
154	171	936
155	172	932
156	172	928
157	173	923
158	173	920
159	174	915
160	174	910
161	175	906
162	175	901
163	176	897
164	176	893
165	176	889
166	177	885
167	177	881
168	178	877
169	178	873
170	179	869
171	179	865
172	180	862
173	180	858
174	181	854
175	181	850
176	182	850
177	184	852
178	185	849
179	185	847
180	186	843
181	187	841
182	187	838
183	188	835
184	188	831
185	189	828
186	189	825
187	190	822
188	190	819
189	191	816
190	192	813
191	192	811
192	193	808
193	194	806
194	194	803
195	195	800
196	195	797
197	196	795
198	197	795
199	198	793
200	199	793
201	200	791
202	201	790
203	202	788
204	202	785
205	202	782
206	203	779
207	203	776
208	204	773
209	205	771
210	205	768
211	206	765
212	206	763
213	207	760
214	207	757
215	208	755
216	208	752
217	209	750
218	209	747
219	210	745
220	210	742
221	211	740
222	212	738
223	212	736
224	213	733
225	213	731
226	214	728
227	214	727
228	215	725
229	217	726
230	217	724
231	218	724
232	219	721
233	219	719
234	220	717
235	220	715
236	221	712
237	221	710
238	222	708
239	222	705
240	223	703
241	223	701
242	224	698
243	224	696
244	225	694
245	225	692
246	226	690
247	226	688
248	227	686
249	228	684
250	228	682
251	229	680
252	229	677
253	230	676
254	230	674
255	231	672
256	231	670
257	232	668
258	232	666
259	233	664
260	233	662
261	234	660
262	234	658
263	235	656
264	235	654
265	236	652
266	237	650
267	237	648
268	237	646
269	238	644
270	238	642
271	239	641
272	240	639
273	240	637
274	241	635
275	241	633
276	242	632
277	242	630
278	243	629
279	244	627
280	244	626
281	245	624
282	246	623
283	246	622
284	247	620
285	248	619
286	248	618
287	249	617
288	250	615
289	250	613
290	251	612
291	251	610
292	252	610
293	253	608
294	254	607
295	254	606
296	255	605
297	256	603
298	256	602
299	257	600
300	258	599
301	258	597
302	259	596
303	259	594
304	260	593
305	260	591
306	261	590
307	261	588
308	262	587
309	263	585
310	263	584
311	264	582
312	264	581
313	265	579
314	266	578
315	266	577
316	267	576
317	268	575
318	268	574
319	269	573
320	270	572
321	270	570
322	271	569
323	272	567
324	272	566
325	273	564
326	273	563
327	274	561
328	274	560
329	275	558
330	275	557
331	276	556
332	277	554
333	277	553
334	277	551
335	278	550
336	279	549
337	279	547
338	280	546
339	281	546
340	282	545
341	282	544
342	283	543
343	284	542
344	284	541
345	285	539
346	286	539
347	287	538
348	288	537
349	288	536
350	289	535
351	290	533
352	290	533
353	291	531
354	292	530
355	292	529
356	293	527
357	293	526
358	294	525
359	294	524
360	295	522
361	296	521
362	296	520
363	297	519
364	298	518
365	301	522
366	302	521
367	303	521
368	304	520
369	304	519
370	305	518
371	306	517
372	307	516
373	307	515
374	308	513
375	308	512
376	309	511
377	309	509
378	310	508
379	311	508
380	312	507
381	312	506
382	313	504
383	313	503
384	314	502
385	315	501
386	315	499
387	316	499
388	316	497
389	317	496
390	318	495
391	318	494
392	319	493
393	319	492
394	320	491
395	321	489
396	321	489
397	322	487
398	323	487
399	324	486
400	325	485
401	325	484
402	326	483
403	327	482
404	327	481
405	328	480
406	328	478
407	329	477
408	329	476
409	330	475
410	331	474
411	331	473
412	332	472
413	332	471
414	333	470
415	334	469
416	334	467
417	335	466
418	335	465
419	336	464
420	337	463
421	337	462
422	338	461
423	339	460
424	339	459
425	340	458
426	341	457
427	341	456
428	342	456
429	343	454
430	343	453
431	344	452
432	344	451
433	345	450
434	345	449
435	346	447
436	346	446
437	347	445
438	347	444
439	348	443
440	348	441
441	349	440
442	349	439
443	350	438
444	350	437
445	351	436
446	352	435
447	352	434
448	353	433
449	353	432
450	354	431
451	356	432
452	357	431
453	358	430
454	358	429
455	359	429
456	360	428
457	360	427
458	361	425
459	361	424
460	362	423
461	363	422
462	363	421
463	364	420
464	364	419
465	365	418
466	366	418
467	366	416
468	367	415
469	368	415
470	368	414
471	369	413
472	369	411
473	370	411
474	371	410
475	371	409
476	372	408
477	372	407
478	373	406
479	375	406
480	375	405
481	376	404
482	376	403
483	377	402
484	377	401
485	378	400
486	379	399
487	379	398
488	380	397
489	380	396
490	381	395
491	382	394
492	382	393
493	383	392
494	383	391
495	384	390
496	385	389
497	385	388
498	386	387
499	387	387
500	387	386
501	388	385
502	389	384
503	389	383
504	390	382
505	391	381
506	391	380
507	392	380
508	393	379
509	393	378
510	394	377
511	394	376
512	396	375
513	396	375
514	397	373
515	397	372
516	398	371
517	398	370
518	399	369
519	399	368
520	400	368
521	400	367
522	401	366
523	402	365
524	402	364
525	403	363
526	403	362
527	404	362
528	405	361
529	407	361
530	408	360
531	409	359
532	409	359
533	410	358
534	411	357
535	411	356
536	412	355
537	412	354
538	413	353
539	413	352
540	414	351
541	415	350
542	415	349
543	416	348
544	417	348
545	418	347
546	419	347
547	420	346
548	420	345
549	421	344
550	421	343
551	422	342
552	422	341
553	423	340
554	424	339
555	424	339
556	425	338
557	425	337
558	426	336
559	426	335
560	427	334
561	427	333
562	428	332
563	428	331
564	429	330
565	429	329
566	430	328
567	430	327
568	431	326
569	431	325
570	432	324
571	432	323
572	433	323
573	433	322
574	434	321
575	435	320
576	435	319
577	436	318
578	436	317
579	437	316
580	437	315
581	438	314
582	438	313
583	439	312
584	439	311
585	440	310
586	440	310
587	441	309
588	441	308
589	442	307
590	442	306
591	443	305
592	443	304
593	444	303
594	444	302
595	445	301
596	445	300
597	446	300
598	446	299
599	447	298
600	447	297
601	448	296
602	448	295
603	449	294
604	449	293
605	450	292
606	450	291
607	451	291
608	452	290
609	452	289
610	453	288
611	453	287
612	454	286
613	454	285
614	455	284
615	455	284
616	456	283
617	456	282
618	457	281
619	457	280
620	458	279
621	458	278
622	459	277
623	459	277
624	460	276
625	460	275
626	461	274
627	461	273
628	462	272
629	462	271
630	463	270
631	463	270
632	464	269
633	465	268
634	465	267
635	466	266
636	466	265
637	467	265
638	467	264
639	468	263
640	468	262
641	469	261
642	469	260
643	470	259
644	470	259
645	471	258
646	471	257
647	472	256
648	473	255
649	473	254
650	474	254
651	474	253
652	475	252
653	475	251
654	476	250
655	476	249
656	477	249
657	477	248
658	478	247
659	478	246
660	479	245
661	479	244
662	480	244
663	480	243
664	481	242
665	481	241
666	482	240
667	482	240
668	483	239
669	483	238
670	484	237
671	485	236
672	485	235
673	485	235
674	486	234
675	487	233
676	487	232
677	488	231
678	488	231
679	489	230
680	489	229
681	490	228
682	490	227
683	491	226
684	491	226
685	492	225
686	493	224
687	493	223
688	494	223
689	494	222
690	495	221
691	495	220
692	496	219
693	496	219
694	497	218
695	497	217
696	498	216
697	498	215
698	499	214
699	499	214
700	500	213
701	500	212
702	501	211
703	501	211
704	502	210
705	503	209
706	504	208
707	504	208
708	505	207
709	505	206
710	506	205
711	506	205
712	507	204
713	507	203
714	508	202
715	509	202
716	510	201
717	511	200
718	512	200
719	512	199
720	513	198
721	513	197
722	514	197
723	514	196
724	515	195
725	515	194
726	516	193
727	516	193
728	517	192
729	518	191
730	518	190
731	519	190
732	519	189
733	520	188
734	520	187
735	521	186
736	521	186
737	522	185
738	522	184
739	523	183
740	523	183
741	524	182
742	524	181
743	525	180
744	525	180
745	526	179
746	526	178
747	527	177
748	528	176
749	528	176
750	529	175
751	529	174
752	530	173
753	530	173
754	531	172
755	531	171
756	532	170
757	533	170
758	533	169
759	534	168
760	535	168
761	536	167
762	537	166
763	538	166
764	539	165
765	539	164
766	540	164
767	541	163
768	542	162
769	542	162
770	543	161
771	543	160
772	544	159
773	545	159
774	545	158
775	546	157
776	546	156
777	547	156
778	547	155
779	548	154
780	548	153
781	549	153
782	549	152
783	550	151
784	550	150
785	551	150
786	552	149
787	552	148
788	553	147
789	553	147
790	554	146
791	554	145
792	555	144
793	555	144
794	556	143
795	556	142
796	557	141
797	557	141
798	561	141
799	562	140
800	563	140
801	564	139
802	565	138
803	565	137
804	566	137
805	566	136
806	567	135
807	567	134
808	568	134
809	568	133
810	569	132
811	569	131
812	570	131
813	570	130
814	571	129
815	572	129
816	572	128
817	573	127
818	574	126
819	575	126
820	575	125
821	576	124
822	576	124
823	577	123
824	577	122
825	578	121
826	579	121
827	579	120
828	580	119
829	580	118
830	581	118
831	582	117
832	582	116
833	583	116
834	583	115
835	584	114
836	584	113
837	585	113
838	586	112
839	586	111
840	587	111
841	587	110
842	588	109
843	589	108
844	589	108
845	590	107
846	590	106
847	591	106
848	592	105
849	593	104
850	593	103
851	594	103
852	595	102
853	596	102
854	597	101
855	598	100
856	598	99
857	599	99
858	600	98
859	601	97
860	601	97
861	602	96
862	602	95
863	603	94
864	604	94
865	605	93
866	607	93
867	608	92
868	609	91
869	610	91
870	611	90
871	612	89
872	613	89
873	613	88
874	614	87
875	615	87
876	615	86
877	616	85
